[14:51:54] [INFO] received Windows console close event; shutting log-core down
[14:52:15] [INFO] received Windows console close event; shutting log-core down
[14:57:35] [INFO] received Windows console close event; shutting log-core down
[15:07:06] [INFO] received Windows console close event; shutting log-core down
[15:16:59] [INFO] received Windows console close event; shutting log-core down
[15:22:44] [INFO] received Windows console close event; shutting log-core down
[15:23:42] [INFO] received Windows console close event; shutting log-core down
[15:25:25] [INFO] received Windows console close event; shutting log-core down
[15:32:24] [INFO] received Windows console close event; shutting log-core down
[13:57:10] [INFO] received Windows console close event; shutting log-core down
[13:57:14] [INFO] received Windows console close event; shutting log-core down
[13:58:08] [INFO] received Windows console close event; shutting log-core down
[13:58:35] [INFO] received Windows console close event; shutting log-core down
[13:59:30] [INFO] received Windows console close event; shutting log-core down
[13:59:35] [INFO] received Windows console close event; shutting log-core down
[14:00:00] [INFO] received Windows console close event; shutting log-core down
[14:00:08] [INFO] received Windows console close event; shutting log-core down
[14:03:03] [INFO] received Windows console close event; shutting log-core down
[14:03:08] [INFO] received Windows console close event; shutting log-core down
[14:03:36] [INFO] received Windows console close event; shutting log-core down
[14:10:04] [INFO] received Windows console close event; shutting log-core down
[14:10:36] [INFO] received Windows console close event; shutting log-core down
[14:17:09] [INFO] received Windows console close event; shutting log-core down
[14:17:17] [INFO] received Windows console close event; shutting log-core down
[14:17:28] [INFO] received Windows console close event; shutting log-core down
[14:17:45] [INFO] received Windows console close event; shutting log-core down
[14:18:04] [INFO] received Windows console close event; shutting log-core down
[14:18:12] [INFO] received Windows console close event; shutting log-core down
[14:18:59] [INFO] received Windows console close event; shutting log-core down
[14:19:07] [INFO] received Windows console close event; shutting log-core down
[14:19:26] [INFO] received Windows console close event; shutting log-core down
[14:19:59] [INFO] received Windows console close event; shutting log-core down
[14:20:28] [INFO] received Windows console close event; shutting log-core down
[14:21:45] [INFO] received Windows console close event; shutting log-core down
[14:21:56] [INFO] received Windows console close event; shutting log-core down
[14:22:41] [INFO] received Windows console close event; shutting log-core down
[14:22:55] [INFO] received Windows console close event; shutting log-core down
[14:23:00] [INFO] received Windows console close event; shutting log-core down
